stop_id,stop_name,date,expected_departure,actual_departure,passenger_count
00113147,Bradshaw Street,2025-03-01,2025-03-01T06:03:00,2025-03-01T05:59:00,8
00261521,Elm Street,2025-03-01,2025-03-01T06:07:00,2025-03-01T06:08:00,14
00113264,Ocean Avenue,2025-03-01,2025-03-01T06:12:00,2025-03-01T06:11:00,7
00115521,Jump Street,2025-03-01,2025-03-01T06:15:00,2025-03-01T06:17:00,7
00311532,Fury Road,2025-03-01,2025-03-01T06:22:00,2025-03-01T06:28:00,8
00662113,Cloverfield Lane,2025-03-01,2025-03-01T06:41:00,2025-03-01T06:43:00,4
00113147,Bradshaw Street,2025-03-01,2025-03-01T07:03:00,2025-03-01T07:00:00,8
00261521,Elm Street,2025-03-01,2025-03-01T07:07:00,none,0
00113264,Ocean Avenue,2025-03-01,2025-03-01T07:12:00,2025-03-01T07:10:00,32
00115521,Jump Street,2025-03-01,2025-03-01T07:15:00,2025-03-01T07:14:00,14
00311532,Fury Road,2025-03-01,2025-03-01T07:22:00,2025-03-01T07:24:00,9
00662113,Cloverfield Lane,2025-03-01,2025-03-01T07:41:00,2025-03-01T07:43:00,4
00113147,Bradshaw Street,2025-03-01,2025-03-01T08:03:00,2025-03-01T08:00:00,13
00261521,Elm Street,2025-03-01,2025-03-01T08:07:00,2025-03-01T08:06:00,43
00113264,Ocean Avenue,2025-03-01,2025-03-01T08:12:00,2025-03-01T08:10:00,36
00115521,Jump Street,2025-03-01,2025-03-01T08:15:00,2025-03-01T08:15:00,12
00311532,Fury Road,2025-03-01,2025-03-01T08:22:00,2025-03-01T08:27:00,0
00662113,Cloverfield Lane,2025-03-01,2025-03-01T08:41:00,2025-03-01T08:39:00,2
00113147,Bradshaw Street,2025-03-01,2025-03-01T09:03:00,2025-03-01T09:00:00,7
00261521,Elm Street,2025-03-01,2025-03-01T09:07:00,2025-03-01T09:09:00,46
00113264,Ocean Avenue,2025-03-01,2025-03-01T09:12:00,none,0
00115521,Jump Street,2025-03-01,2025-03-01T09:15:00,2025-03-01T09:14:00,19
00311532,Fury Road,2025-03-01,2025-03-01T09:22:00,2025-03-01T09:28:00,4
00662113,Cloverfield Lane,2025-03-01,2025-03-01T09:41:00,2025-03-01T09:40:00,0
00113147,Bradshaw Street,2025-03-01,2025-03-01T10:03:00,2025-03-01T10:02:00,10
00261521,Elm Street,2025-03-01,2025-03-01T10:07:00,2025-03-01T10:10:00,22
00113264,Ocean Avenue,2025-03-01,2025-03-01T10:12:00,2025-03-01T10:13:00,25
00115521,Jump Street,2025-03-01,2025-03-01T10:15:00,2025-03-01T10:16:00,9
00311532,Fury Road,2025-03-01,2025-03-01T10:22:00,2025-03-01T10:25:00,4
00662113,Cloverfield Lane,2025-03-01,2025-03-01T10:41:00,2025-03-01T10:43:00,6
00113147,Bradshaw Street,2025-03-01,2025-03-01T11:03:00,2025-03-01T10:58:00,5
00261521,Elm Street,2025-03-01,2025-03-01T11:07:00,2025-03-01T11:06:00,16
00113264,Ocean Avenue,2025-03-01,2025-03-01T11:12:00,2025-03-01T11:09:00,8
00115521,Jump Street,2025-03-01,2025-03-01T11:15:00,2025-03-01T11:17:00,11
00311532,Fury Road,2025-03-01,2025-03-01T11:22:00,2025-03-01T11:26:00,9
00662113,Cloverfield Lane,2025-03-01,2025-03-01T11:41:00,2025-03-01T11:42:00,10
00113147,Bradshaw Street,2025-03-01,2025-03-01T12:03:00,2025-03-01T12:02:00,14
00261521,Elm Street,2025-03-01,2025-03-01T12:07:00,2025-03-01T12:07:00,21
00113264,Ocean Avenue,2025-03-01,2025-03-01T12:12:00,2025-03-01T12:13:00,4
00115521,Jump Street,2025-03-01,2025-03-01T12:15:00,2025-03-01T12:19:00,16
00311532,Fury Road,2025-03-01,2025-03-01T12:22:00,2025-03-01T12:27:00,7
00662113,Cloverfield Lane,2025-03-01,2025-03-01T12:41:00,2025-03-01T12:40:00,5
00113147,Bradshaw Street,2025-03-01,2025-03-01T13:03:00,2025-03-01T13:00:00,16
00261521,Elm Street,2025-03-01,2025-03-01T13:07:00,2025-03-01T13:08:00,19
00113264,Ocean Avenue,2025-03-01,2025-03-01T13:12:00,none,0
00115521,Jump Street,2025-03-01,2025-03-01T13:15:00,2025-03-01T13:15:00,16
00311532,Fury Road,2025-03-01,2025-03-01T13:22:00,2025-03-01T13:27:00,3
00662113,Cloverfield Lane,2025-03-01,2025-03-01T13:41:00,2025-03-01T13:38:00,1
00113147,Bradshaw Street,2025-03-01,2025-03-01T14:03:00,2025-03-01T14:04:00,15
00261521,Elm Street,2025-03-01,2025-03-01T14:07:00,2025-03-01T14:02:00,1
00113264,Ocean Avenue,2025-03-01,2025-03-01T14:12:00,2025-03-01T14:16:00,20
00115521,Jump Street,2025-03-01,2025-03-01T14:15:00,2025-03-01T14:13:00,11
00311532,Fury Road,2025-03-01,2025-03-01T14:22:00,2025-03-01T14:27:00,0
00662113,Cloverfield Lane,2025-03-01,2025-03-01T14:41:00,2025-03-01T14:43:00,11
00113147,Bradshaw Street,2025-03-01,2025-03-01T15:03:00,2025-03-01T15:02:00,14
00261521,Elm Street,2025-03-01,2025-03-01T15:07:00,2025-03-01T15:08:00,23
00113264,Ocean Avenue,2025-03-01,2025-03-01T15:12:00,2025-03-01T15:13:00,5
00115521,Jump Street,2025-03-01,2025-03-01T15:15:00,2025-03-01T15:17:00,0
00311532,Fury Road,2025-03-01,2025-03-01T15:22:00,2025-03-01T15:25:00,2
00662113,Cloverfield Lane,2025-03-01,2025-03-01T15:41:00,2025-03-01T15:39:00,3
